instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,clean_symbol
NSE_EQ|INE511C01022,11403,POONAWALLA,POONAWALLA FINCORP LTD,464.15,,,0.05,1.0,EQUITY,,NSE_EQ,POONAWALLA
NSE_EQ|INE150B01039,4487,ALKYLAMINE,ALKYL AMINES CHEM. LTD,1522.9,,,0.1,1.0,EQUITY,,NSE_EQ,ALKYLAMINE
NSE_EQ|INE249Z01020,509,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,2350.2,,,0.1,1.0,EQUITY,,NSE_EQ,MAZDOCK
NSE_EQ|INE0DD101019,2431,RAILTEL,RAILTEL CORP OF IND LTD,331.35,,,0.05,1.0,EQUITY,,NSE_EQ,RAILTEL
NSE_EQ|INE343H01029,13332,SOLARINDS,SOLAR INDUSTRIES (I) LTD,13043.0,,,1.0,1.0,EQUITY,,NSE_EQ,SOLARINDS
NSE_EQ|INE732A01036,18581,KIRLOSBROS,KIRLOSKAR BROTHERS LTD,1604.6,,,0.1,1.0,EQUITY,,NSE_EQ,KIRLOSBROS
NSE_EQ|INE191H01014,13147,PVRINOX,PVR INOX LIMITED,1053.15,,,0.05,1.0,EQUITY,,NSE_EQ,PVRINOX
NSE_EQ|INE094J01016,527,UTIAMC,UTI ASSET MNGMT CO LTD,1069.35,,,0.05,1.0,EQUITY,,NSE_EQ,UTIAMC
NSE_EQ|INE530B01024,11809,IIFL,IIFL FINANCE LIMITED,508.8,,,0.05,1.0,EQUITY,,NSE_EQ,IIFL
NSE_EQ|INE758T01015,5097,ETERNAL,ETERNAL LIMITED,285.2,,,0.05,1.0,EQUITY,,NSE_EQ,ETERNAL
NSE_EQ|INE154A01025,1660,ITC,ITC LTD,313.75,,,0.05,1.0,EQUITY,,NSE_EQ,ITC
NSE_EQ|INE455K01017,9590,POLYCAB,POLYCAB INDIA LIMITED,7587.5,,,0.5,1.0,EQUITY,,NSE_EQ,POLYCAB
